"","value","year","month"
"720",59.8,"2010","11"
"721",67.1,"2010","12"
"722",41.2,"2011","01"
"723",100.6,"2011","02"
"724",62.9,"2011","03"
"725",69.9,"2011","04"
"726",91.9,"2011","05"
"727",85.2,"2011","06"
"728",162.3,"2011","07"
"729",144.3,"2011","08"
"730",97.4,"2011","09"
"731",55.6,"2011","10"
"732",80.2,"2011","11"
"733",71.6,"2011","12"
"734",124.9,"2012","01"
"735",179,"2012","02"
"736",37.7,"2012","03"
"737",31.6,"2012","04"
"738",80.8,"2012","05"
"739",93.8,"2012","06"
"740",43.8,"2012","07"
"741",96.3,"2012","08"
"742",80.6,"2012","09"
"743",21.2,"2012","10"
"744",23.7,"2012","11"
"745",48.9,"2012","12"
"746",43.3,"2013","01"
"747",79.1,"2013","02"
"748",25.6,"2013","03"
"749",27.4,"2013","04"
"750",128.9,"2013","05"
"751",105.6,"2013","06"
"752",84.1,"2013","07"
"753",39.6,"2013","08"
"754",73.9,"2013","09"
"755",104.4,"2013","10"
"756",74.5,"2013","11"
"757",1.9,"2013","12"
"758",7.6,"2014","01"
"759",59.6,"2014","02"
"760",50.1,"2014","03"
"761",48.4,"2014","04"
"762",56.8,"2014","05"
"763",32.9,"2014","06"
"764",90.6,"2014","07"
"765",66.4,"2014","08"
"766",50,"2014","09"
"767",15.5,"2014","10"
"768",73.8,"2014","11"
"769",58.7,"2014","12"
"770",91.6,"2015","01"
"771",50,"2015","02"
"772",74.9,"2015","03"
"773",75.7,"2015","04"
"774",111.6,"2015","05"
"775",79.5,"2015","06"
"776",97.4,"2015","07"
"777",73.6,"2015","08"
"778",78.6,"2015","09"
"779",69.5,"2015","11"
"780",34.7,"2015","12"
"781",63.9,"2016","01"
"782",61.1,"2016","02"
"783",42.5,"2016","03"
"784",48,"2016","04"
"785",79.1,"2016","08"
"786",83.1,"2016","09"
"787",104.4,"2016","10"
"788",149.8,"2016","11"
"789",81.4,"2016","12"
"790",54,"2017","01"
"791",53.8,"2017","02"
"792",77.2,"2017","03"
"793",42.4,"2017","04"
"794",137.2,"2017","05"
"795",86.2,"2017","06"
"796",83.5,"2017","07"
"797",17.6,"2017","08"
"798",104.9,"2017","09"
"799",49.6,"2017","10"
"800",92.3,"2017","11"
"801",19.4,"2017","12"
"802",17,"2018","01"
"803",18.5,"2018","02"
"804",41.4,"2018","03"
"805",21.9,"2018","04"
"806",48,"2018","05"
"807",22.9,"2018","06"
"808",142.7,"2018","07"
"809",123.9,"2018","08"
"810",107.7,"2018","09"
"811",20.6,"2018","10"
"812",71.5,"2018","11"
"813",65.9,"2018","12"
"814",27.8,"2019","01"
"815",92.4,"2019","02"
"816",7,"2019","03"
"817",89.7,"2019","04"
"818",69.2,"2019","05"
"819",49,"2019","06"
"820",59.6,"2019","07"
"821",170.3,"2019","08"
"822",67.3,"2019","09"
