referenceTime,value
1965-02-28T23:00:00Z,85.4
1965-03-31T23:00:00Z,31.4
1965-04-30T23:00:00Z,29.3
1965-05-31T23:00:00Z,78.3
1965-06-30T23:00:00Z,64.8
1965-07-31T23:00:00Z,36
1965-08-31T23:00:00Z,110.4
1965-09-30T23:00:00Z,162
1965-10-31T23:00:00Z,63.3
1965-11-30T23:00:00Z,41.9
1965-12-31T23:00:00Z,47.2
1966-01-31T23:00:00Z,47.1
1966-02-28T23:00:00Z,109.5
1966-03-31T23:00:00Z,17.1
1966-04-30T23:00:00Z,85.5
1966-05-31T23:00:00Z,45.9
1966-06-30T23:00:00Z,80.6
1966-07-31T23:00:00Z,80
1966-08-31T23:00:00Z,170.6
1966-09-30T23:00:00Z,56.8
1966-10-31T23:00:00Z,22.3
1966-11-30T23:00:00Z,25.7
1966-12-31T23:00:00Z,43.3
1967-01-31T23:00:00Z,44.8
1967-02-28T23:00:00Z,72.5
1967-03-31T23:00:00Z,63.4
1967-04-30T23:00:00Z,49.3
1967-05-31T23:00:00Z,72.9
1967-06-30T23:00:00Z,94.7
1967-07-31T23:00:00Z,92.5
1967-08-31T23:00:00Z,13.9
1967-09-30T23:00:00Z,107.8
1967-10-31T23:00:00Z,75
1967-11-30T23:00:00Z,143.1
1967-12-31T23:00:00Z,99.8
1968-01-31T23:00:00Z,74.6
1968-02-29T23:00:00Z,72.7
1968-03-31T23:00:00Z,43.3
1968-04-30T23:00:00Z,41.9
1968-05-31T23:00:00Z,57.3
1968-06-30T23:00:00Z,11.9
1968-07-31T23:00:00Z,22
1968-08-31T23:00:00Z,36.6
1968-09-30T23:00:00Z,136.4
1968-10-31T23:00:00Z,27.5
1968-11-30T23:00:00Z,35.3
1968-12-31T23:00:00Z,28.4
1969-01-31T23:00:00Z,22.4
1969-02-28T23:00:00Z,38.4
1969-03-31T23:00:00Z,64.6
1969-04-30T23:00:00Z,28.6
1969-05-31T23:00:00Z,23.2
1969-06-30T23:00:00Z,119.3
1969-07-31T23:00:00Z,53.6
1969-08-31T23:00:00Z,110.3
1969-09-30T23:00:00Z,111.4
1969-10-31T23:00:00Z,70.1
1969-11-30T23:00:00Z,46.3
1969-12-31T23:00:00Z,16.6
1970-01-31T23:00:00Z,21.9
1970-02-28T23:00:00Z,27.4
1970-03-31T23:00:00Z,17.1
1970-04-30T23:00:00Z,53.2
1970-05-31T23:00:00Z,33.3
1970-06-30T23:00:00Z,75.8
1970-07-31T23:00:00Z,40.5
1970-08-31T23:00:00Z,210
1970-09-30T23:00:00Z,98.2
1970-10-31T23:00:00Z,28.4
1970-11-30T23:00:00Z,96.4
1970-12-31T23:00:00Z,74.2
1971-01-31T23:00:00Z,50.3
1971-02-28T23:00:00Z,87.9
1971-03-31T23:00:00Z,32.8
1971-04-30T23:00:00Z,86.2
1971-05-31T23:00:00Z,95.7
1971-06-30T23:00:00Z,130.1
1971-07-31T23:00:00Z,57
1971-08-31T23:00:00Z,133.7
1971-09-30T23:00:00Z,190.8
1971-10-31T23:00:00Z,152.8
1971-11-30T23:00:00Z,195
1971-12-31T23:00:00Z,0.8
1972-01-31T23:00:00Z,6.4
1972-02-29T23:00:00Z,26.4
1972-03-31T23:00:00Z,80.3
1972-04-30T23:00:00Z,73.6
1972-05-31T23:00:00Z,123.7
1972-06-30T23:00:00Z,40.4
1972-07-31T23:00:00Z,80
1972-08-31T23:00:00Z,103.1
1972-09-30T23:00:00Z,138
1972-10-31T23:00:00Z,133.5
1972-11-30T23:00:00Z,26.4
1972-12-31T23:00:00Z,60.6
1973-01-31T23:00:00Z,87.1
1973-02-28T23:00:00Z,68.7
1973-03-31T23:00:00Z,71.8
1973-04-30T23:00:00Z,71.1
1973-05-31T23:00:00Z,71.4
1973-06-30T23:00:00Z,149.1
1973-07-31T23:00:00Z,69.1
1973-08-31T23:00:00Z,133.7
1973-09-30T23:00:00Z,174.6
1973-10-31T23:00:00Z,128.8
1973-11-30T23:00:00Z,84.8
1973-12-31T23:00:00Z,39.4
1974-01-31T23:00:00Z,30
1974-02-28T23:00:00Z,5.2
1974-03-31T23:00:00Z,66.9
1974-04-30T23:00:00Z,27.8
1974-05-31T23:00:00Z,55.6
1974-06-30T23:00:00Z,137.8
1974-07-31T23:00:00Z,110
1974-08-31T23:00:00Z,49.9
1974-09-30T23:00:00Z,63.8
1974-10-31T23:00:00Z,34.7
1974-11-30T23:00:00Z,63
1974-12-31T23:00:00Z,72.4
1975-01-31T23:00:00Z,83.9
1975-02-28T23:00:00Z,24.5
1975-03-31T23:00:00Z,47.6
1975-04-30T23:00:00Z,92
1975-05-31T23:00:00Z,44.3
1975-06-30T23:00:00Z,65
1975-07-31T23:00:00Z,113.7
1975-08-31T23:00:00Z,196.5
1975-09-30T23:00:00Z,197.1
1975-10-31T23:00:00Z,36.2
1975-11-30T23:00:00Z,270.4
1975-12-31T23:00:00Z,118.6
1976-01-31T23:00:00Z,89
1976-02-29T23:00:00Z,26.1
1976-03-31T23:00:00Z,62.6
1976-04-30T23:00:00Z,20.8
1976-05-31T23:00:00Z,85.3
1976-06-30T23:00:00Z,93.5
1976-07-31T23:00:00Z,50.3
1976-08-31T23:00:00Z,127
1976-09-30T23:00:00Z,24.2
1976-10-31T23:00:00Z,68.9
1976-11-30T23:00:00Z,50.4
1976-12-31T23:00:00Z,30.9
1977-01-31T23:00:00Z,12.2
1977-02-28T23:00:00Z,40.4
1977-03-31T23:00:00Z,38.9
1977-04-30T23:00:00Z,29.6
1977-05-31T23:00:00Z,67.7
1977-06-30T23:00:00Z,72.7
1977-07-31T23:00:00Z,62.3
1977-08-31T23:00:00Z,98.6
1977-09-30T23:00:00Z,44.6
1977-10-31T23:00:00Z,73
1977-11-30T23:00:00Z,73.1
1977-12-31T23:00:00Z,95.4
1978-01-31T23:00:00Z,40.6
1978-02-28T23:00:00Z,43
1978-03-31T23:00:00Z,67.2
1978-04-30T23:00:00Z,9.4
1978-05-31T23:00:00Z,90.3
1978-06-30T23:00:00Z,113.9
1978-07-31T23:00:00Z,70.4
1978-08-31T23:00:00Z,111.7
1978-09-30T23:00:00Z,149.8
1978-10-31T23:00:00Z,133.6
1978-11-30T23:00:00Z,34.2
1978-12-31T23:00:00Z,22.2
1979-01-31T23:00:00Z,62.3
1979-02-28T23:00:00Z,37.8
1979-03-31T23:00:00Z,31.2
1979-04-30T23:00:00Z,38.6
1979-05-31T23:00:00Z,113.9
1979-06-30T23:00:00Z,176.4
1979-07-31T23:00:00Z,85.7
1979-08-31T23:00:00Z,182.3
1979-09-30T23:00:00Z,84.3
1979-10-31T23:00:00Z,85.9
1979-11-30T23:00:00Z,34.3
1979-12-31T23:00:00Z,30.3
1980-01-31T23:00:00Z,49
1980-02-29T23:00:00Z,33.4
1980-03-31T23:00:00Z,70.1
1980-04-30T22:00:00Z,90.5
1980-05-31T22:00:00Z,51.3
1980-06-30T22:00:00Z,41.5
1980-07-31T22:00:00Z,93.6
1980-08-31T22:00:00Z,107.1
1980-09-30T23:00:00Z,78.2
1980-10-31T23:00:00Z,58.6
1980-11-30T23:00:00Z,110.3
1980-12-31T23:00:00Z,117.7
1981-01-31T23:00:00Z,51
1981-02-28T23:00:00Z,21.4
1981-03-31T22:00:00Z,68.8
1981-04-30T22:00:00Z,20.2
1981-05-31T22:00:00Z,110.7
1981-06-30T22:00:00Z,83.8
1981-07-31T22:00:00Z,108.5
1981-08-31T22:00:00Z,18.7
1981-09-30T23:00:00Z,52.1
1981-10-31T23:00:00Z,36.5
1981-11-30T23:00:00Z,35.5
1981-12-31T23:00:00Z,41.2
1982-01-31T23:00:00Z,32.7
1982-02-28T23:00:00Z,76.2
1982-03-31T22:00:00Z,91.1
1982-04-30T22:00:00Z,54.7
1982-05-31T22:00:00Z,36.1
1982-06-30T22:00:00Z,118.7
1982-07-31T22:00:00Z,99.2
1982-08-31T22:00:00Z,149.6
1982-09-30T23:00:00Z,19.6
1982-10-31T23:00:00Z,53
1982-11-30T23:00:00Z,49.2
1982-12-31T23:00:00Z,151.7
1983-01-31T23:00:00Z,43.7
1983-02-28T23:00:00Z,87.8
1983-03-31T22:00:00Z,47.6
1983-04-30T22:00:00Z,32
1983-05-31T22:00:00Z,48.9
1983-06-30T22:00:00Z,121.3
1983-07-31T22:00:00Z,128
1983-08-31T22:00:00Z,147.1
1983-09-30T23:00:00Z,185.6
1983-10-31T23:00:00Z,121.1
1983-11-30T23:00:00Z,91.7
1983-12-31T23:00:00Z,52.5
1984-01-31T23:00:00Z,28.2
1984-02-29T23:00:00Z,37
1984-03-31T22:00:00Z,29.9
1984-04-30T22:00:00Z,13.1
1984-05-31T22:00:00Z,108.7
1984-06-30T22:00:00Z,74.4
1984-07-31T22:00:00Z,90
1984-08-31T22:00:00Z,65.2
1984-09-30T23:00:00Z,118.7
1984-10-31T23:00:00Z,23.1
1984-11-30T23:00:00Z,61.2
1984-12-31T23:00:00Z,47.8
1985-01-31T23:00:00Z,63.8
1985-02-28T23:00:00Z,43.9
1985-03-31T22:00:00Z,34.8
1985-04-30T22:00:00Z,24.5
1985-05-31T22:00:00Z,21.9
1985-06-30T22:00:00Z,131.9
1985-07-31T22:00:00Z,121.6
1985-08-31T22:00:00Z,166.7
1985-09-30T23:00:00Z,181.8
1985-10-31T23:00:00Z,76.6
1985-11-30T23:00:00Z,95.9
1985-12-31T23:00:00Z,36.9
1986-01-31T23:00:00Z,14.6
1986-02-28T23:00:00Z,28.5
1986-03-31T22:00:00Z,17.6
1986-04-30T22:00:00Z,114.1
1986-05-31T22:00:00Z,28.8
1986-06-30T22:00:00Z,122.2
1986-07-31T22:00:00Z,53.9
1986-08-31T22:00:00Z,140.1
1986-09-30T23:00:00Z,87.1
1986-10-31T23:00:00Z,75.5
1986-11-30T23:00:00Z,68.4
1986-12-31T23:00:00Z,66.5
1987-01-31T23:00:00Z,115.1
1987-02-28T23:00:00Z,5.4
1987-03-31T22:00:00Z,77.8
1987-04-30T22:00:00Z,55.8
1987-05-31T22:00:00Z,92.7
1987-06-30T22:00:00Z,112.3
1987-07-31T22:00:00Z,117.2
1987-08-31T22:00:00Z,104.5
1987-09-30T23:00:00Z,30.1
1987-10-31T23:00:00Z,42.4
1987-11-30T23:00:00Z,229
1987-12-31T23:00:00Z,18.4
1988-01-31T23:00:00Z,36.2
1988-02-29T23:00:00Z,40.1
1988-03-31T22:00:00Z,69.3
1988-04-30T22:00:00Z,55.4
1988-05-31T22:00:00Z,29.9
1988-06-30T22:00:00Z,124
1988-07-31T22:00:00Z,115.6
1988-08-31T22:00:00Z,156.9
1988-09-30T23:00:00Z,57
1988-10-31T23:00:00Z,150.8
1988-11-30T23:00:00Z,108.4
1988-12-31T23:00:00Z,179
1989-01-31T23:00:00Z,80.5
1989-02-28T23:00:00Z,38.4
1989-03-31T22:00:00Z,22.3
1989-04-30T22:00:00Z,126.7
1989-05-31T22:00:00Z,48.2
1989-06-30T22:00:00Z,102.9
1989-07-31T22:00:00Z,146.7
1989-08-31T22:00:00Z,74.7
1989-09-30T23:00:00Z,107.2
1989-10-31T23:00:00Z,50.2
1989-11-30T23:00:00Z,96.5
1989-12-31T23:00:00Z,66.5
1990-01-31T23:00:00Z,36.6
1990-02-28T23:00:00Z,148.6
1990-03-31T22:00:00Z,64.8
1990-04-30T22:00:00Z,47.1
1990-05-31T22:00:00Z,21
1990-06-30T22:00:00Z,145.2
1990-07-31T22:00:00Z,77.4
1990-08-31T22:00:00Z,79.7
1990-09-30T23:00:00Z,65.2
1990-10-31T23:00:00Z,56.7
1990-11-30T23:00:00Z,72
1990-12-31T23:00:00Z,34.9
1991-01-31T23:00:00Z,45.8
1991-02-28T23:00:00Z,37.3
1991-03-31T22:00:00Z,39.8
1991-04-30T22:00:00Z,70.5
1991-05-31T22:00:00Z,108.8
1991-06-30T22:00:00Z,53.7
1991-07-31T22:00:00Z,75.5
1991-08-31T22:00:00Z,137.3
1991-09-30T23:00:00Z,56.7
1991-10-31T23:00:00Z,56.5
1991-11-30T23:00:00Z,96.5
1991-12-31T23:00:00Z,200.4
1992-01-31T23:00:00Z,80.2
1992-02-29T23:00:00Z,69.1
1992-03-31T22:00:00Z,15.9
1992-04-30T22:00:00Z,57.2
1992-05-31T22:00:00Z,68.4
1992-06-30T22:00:00Z,84.3
1992-07-31T22:00:00Z,99.7
1992-08-31T22:00:00Z,22
1992-09-30T23:00:00Z,71.6
1992-10-31T23:00:00Z,56.9
1992-11-30T23:00:00Z,64.2
1992-12-31T23:00:00Z,62.9
1993-01-31T23:00:00Z,96.6
1993-02-28T23:00:00Z,57
1993-03-31T22:00:00Z,21.2
1993-04-30T22:00:00Z,62.1
1993-05-31T22:00:00Z,61.5
1993-06-30T22:00:00Z,121
1993-07-31T22:00:00Z,136.8
1993-08-31T22:00:00Z,77.2
1993-09-30T23:00:00Z,91.9
1993-10-31T23:00:00Z,0.5
1993-11-30T23:00:00Z,55.4
1993-12-31T23:00:00Z,77.6
1994-01-31T23:00:00Z,14.8
1994-02-28T23:00:00Z,40
1994-03-31T22:00:00Z,39.4
1994-04-30T22:00:00Z,27
1994-05-31T22:00:00Z,117.7
1994-06-30T22:00:00Z,57.6
1994-07-31T22:00:00Z,108.7
1994-08-31T22:00:00Z,88.6
1994-09-30T23:00:00Z,147.7
1994-10-31T23:00:00Z,117.7
1994-11-30T23:00:00Z,48.4
1994-12-31T23:00:00Z,61.6
1995-01-31T23:00:00Z,70.6
1995-02-28T23:00:00Z,57.7
1995-03-31T22:00:00Z,61.8
1995-04-30T22:00:00Z,86.7
1995-05-31T22:00:00Z,70.1
1995-06-30T22:00:00Z,52.5
1995-07-31T22:00:00Z,85.4
1995-08-31T22:00:00Z,53
1995-09-30T23:00:00Z,92
1995-10-31T23:00:00Z,96.6
1995-11-30T23:00:00Z,79.4
1995-12-31T23:00:00Z,5.8
1996-01-31T23:00:00Z,48.2
1996-02-29T23:00:00Z,28.5
1996-03-31T22:00:00Z,12
1996-04-30T22:00:00Z,31.6
1996-05-31T22:00:00Z,62.1
1996-06-30T22:00:00Z,66.3
1996-07-31T22:00:00Z,49
1996-08-31T22:00:00Z,23.4
1996-09-30T22:00:00Z,97.8
1996-10-31T23:00:00Z,55
1996-11-30T23:00:00Z,74.9
1996-12-31T23:00:00Z,87.7
1997-01-31T23:00:00Z,57
1997-02-28T23:00:00Z,130
1997-03-31T22:00:00Z,76.4
1997-04-30T22:00:00Z,46.9
1997-05-31T22:00:00Z,90.9
1997-06-30T22:00:00Z,19.5
1997-07-31T22:00:00Z,66.2
1997-08-31T22:00:00Z,203.7
1997-09-30T22:00:00Z,126.1
1997-10-31T23:00:00Z,21.2
1997-11-30T23:00:00Z,12.7
1997-12-31T23:00:00Z,53.1
1998-01-31T23:00:00Z,178.8
